source,title,company,location,published,deadline,url,matched_in,snippet,status_note
Alfred + LinkedIn,AI Solutions Analyst,atNorth,Iceland,2026-05-11T13:15:19Z,2026-05-31T23:59:59Z,https://alfred.is/starf/ai-solutions-analyst,title,"AI Solutions Analyst atNorth is a leading Nordic data center company providing cost-effective, scalable high-density colocation and built-to-suit services to industry-leading organizations across Iceland, Sweden, Finland, and Denmark. With sustainability at our core, our data centers run on renewable energy and are des",Merged from 2 matching source postings.
Alfred + LinkedIn,AI Solutions Engineer,atNorth,Iceland,2026-05-11T13:04:52Z,2026-05-31T23:59:59Z,https://alfred.is/starf/ai-solutions-engineer,title,"AI Solutions Engineer atNorth is a leading Nordic data center company providing cost-effective, scalable high-density colocation and built-to-suit services to industry-leading organizations across Iceland, Sweden, Finland, and Denmark. With sustainability at our core, our data centers run on renewable energy and are de",Merged from 2 matching source postings.
LinkedIn,AI Co-Founder / CEO (100 % remote) (m/f/d),EWOR,"Reykjavík, Capital Region, Iceland",,,https://is.linkedin.com/jobs/view/ai-co-founder-ceo-100-%25-remote-m-f-d-at-ewor-4412169327?position=9&pageNum=0&refId=%2BUrnDuUXIHRWagxzyeB22g%3D%3D&trackingId=jD7Zde3Oajaye82qACSU0A%3D%3D,title,"AI Co-Founder / CEO (100 % remote) (m/f/d) AI Co-Founder / CEO (100 % remote) (m/f/d) EWOR Reykjavík, Capital Region, Iceland Be an early applicant 4 days ago",
LinkedIn,"AI Trainer - Spanish Fluency ( from Spain, Argentina, Chile, Mexico, Colombia)",Prolific,Iceland,,,https://is.linkedin.com/jobs/view/ai-trainer-spanish-fluency-from-spain-argentina-chile-mexico-colombia-%E2%80%8B%E2%80%8B-at-prolific-4413537989?position=14&pageNum=0&refId=%2BUrnDuUXIHRWagxzyeB22g%3D%3D&trackingId=tkrDymfNVh0%2Fj8fPaueJlA%3D%3D,title,"AI Trainer - Spanish Fluency ( from Spain, Argentina, Chile, Mexico, Colombia) AI Trainer - Spanish Fluency ( from Spain, Argentina, Chile, Mexico, Colombia) Prolific Iceland Be an early applicant 8 hours ago",
LinkedIn,AI-enabled Senior Software Engineer (Typescript Focus),AccessOwl,Iceland,,,https://is.linkedin.com/jobs/view/ai-enabled-senior-software-engineer-typescript-focus-at-accessowl-4390983022?position=15&pageNum=0&refId=%2BUrnDuUXIHRWagxzyeB22g%3D%3D&trackingId=kuetqoqCSx0BUk7s5w9cqw%3D%3D,title,AI-enabled Senior Software Engineer (Typescript Focus) AI-enabled Senior Software Engineer (Typescript Focus) AccessOwl Iceland Be an early applicant 1 month ago,
LinkedIn,Icelandic Speaker - AI Testing Project,Lionbridge Technologies,Iceland,,,https://is.linkedin.com/jobs/view/icelandic-speaker-ai-testing-project-at-lionbridge-technologies-4408810423?position=51&pageNum=0&refId=%2BUrnDuUXIHRWagxzyeB22g%3D%3D&trackingId=xDPdPCrCYFUX0JbTbqFdWA%3D%3D,title,Icelandic Speaker - AI Testing Project Icelandic Speaker - AI Testing Project Lionbridge Technologies Iceland Be an early applicant 6 days ago,
LinkedIn,Icelandic Speakers - Test Voice Modes of AI Models,Productive Playhouse,"Reykjavík, Capital Region, Iceland",,,https://is.linkedin.com/jobs/view/icelandic-speakers-test-voice-modes-of-ai-models-at-productive-playhouse-4348573332?position=48&pageNum=0&refId=%2BUrnDuUXIHRWagxzyeB22g%3D%3D&trackingId=djmjJE2sykcH%2FggMlx7lmg%3D%3D,title,"Icelandic Speakers - Test Voice Modes of AI Models Icelandic Speakers - Test Voice Modes of AI Models Productive Playhouse Reykjavík, Capital Region, Iceland Be an early applicant 5 months ago",
Störf.is,Kerfisstjórn og upplýsingatækni framtíðarstarf,Mennta­skólinn við Sund,Höfuðborgarsvæðið,2026-05-09T03:22:37.475311Z,2026-05-22T00:00:00,https://island.is/starfatorg/x-46569,content,"iðnum innri þjónustum, API samþættingum og sjálfvirknihandrritum. Tæknileg færni og áhugi til að viðhalda og þróa áfram AI-lausnir skólans. Færni til að hafa umsjón með öryggi tölvukerfa skólans. Færni á uppsetningu og viðhaldi á innri myndavélakerfum og gagnaþjónum. Hæfni í notkun upplýsingatækni til að auka sjálfstæð",
Störf.is,SEO Writer,Arctic Adventures,Iceland,2026-04-29T03:05:31.490257Z,2026-05-13T03:03:54.992955,https://jobs.50skills.com/adventures/42510,content,"produce in-depth travel guides, attraction pages, and informational articles that need to rank in Google, get cited in AI Overviews, ChatGPT, Perplexity, and Gemini, and stand up to fact-checking. You'll execute against detailed SEO briefs, research topics from primary sources, and maintain our brand voice across ever",
Störf.is + Tvinna,Back-end Software Engineer,Bókun,"Reykjavík, Höfuðborgarsvæðið",2026-04-28T03:49:08.630631Z,,https://www.tvinna.is/jobs/back-end-software-engineer-2/,content,"Don’t worry if you’re not familiar with every technology — we’re committed to helping you learn and grow! Working with AI We take AI seriously, both as a tool and as a product capability. Every engineer at Bókun has access to Claude Code and other leading AI coding assistants, and we actively encourage their use as pa",Merged from 2 matching source postings.
Tvinna,Data Scientist,Dohop,Iceland,26. Nov 2025,,https://www.tvinna.is/jobs/data-scientist-6/,content,optimise pricing processes. Evaluate model performance and iterate to improve accuracy and business impact. Explore new AI approaches by evaluating emerging ML and AI techniques and identifying opportunities to apply them to business challenges. Partner with data engineers and analysts to build data pipelines and deplo,
Tvinna,Infra Wizard,AGR,Iceland,25. Mar 2026,,https://www.tvinna.is/jobs/infra-wizard/,content,"rity, and modern cloud operations. The Role We’re seeking an experienced Infrastructure & DevOps Engineer with a strong AI mindset to help us maintain, secure, and evolve our platform. You’ll be hands-on with daily operations while also contributing to our CIS compliance journey, infrastructure automation, and long-ter",
Tvinna,Product Software Developer,Aftra ehf.,Iceland,20. Jan 2026,,https://www.tvinna.is/jobs/product-software-developer/,content,"erest and/or experience working in web/application security is a big plus. Open Mindedness : An open-minded approach to AI development and tooling is welcome. We value pragmatic, results-focused engineering and not “vibe coding.” Benefits : Flexible working environment. A driven work culture with opportunities for care",
Tvinna,Senior DevOps Engineer,Kaptio,Iceland,8. Apr 2026,,https://www.tvinna.is/jobs/senior-devops-engineer-4/,content,and the reliability of infrastructure Stay up-to-date with emerging technologies and DevOps best practices Interest in AI and a passion for finding creative solutions to evolving industry challenges Knowledge & experience: Extensive experience in deploying infrastructure As Code using Terraform within GCP Experience w,
Tvinna,Senior Fintech Engineer,Igloo,Iceland,28. Nov 2025,,https://www.tvinna.is/jobs/senior-fintech-engineer/,content,"or Fintech Engineer — or a high-potential, A-Level emerging engineer with the drive and obsession to master fintech and AI-powered development — to join our core engineering team. You’ll help architect and build our ledger system, financial engines, and the surrounding platform that powers next-generation embedded fina",
Tvinna,Senior Lead Front-End Developer,URU.zone,Iceland,5. Dec 2025,,https://www.tvinna.is/jobs/senior-lead-front-end-developer-2/,content,"building the first intelligent strength-training ecosystem, featuring wearable hardware, motion tracking, and adaptive AI that responds to training in real-time. We have a working product app, ready for external testing. Your Mission Be responsible for developing the URU.app for launch. Architect, refine, and build an",
Tvinna,Senior Software Engineer,NetApp,Iceland,22. Jan 2026,,https://www.tvinna.is/jobs/senior-software-engineer-17/,content,"ave deep experience with Go (golang), automation of developer workflows, and a strong interest in DevOps, security, and AI-driven solutions. The position focuses on building and maintaining robust automation for GitHub, enhancing test frameworks, and developing AI-powered log analysis and security features. Job Require",
Tvinna,Upplýsingatæknistjóri,Dagar,Iceland,10. Nov 2025,,https://www.tvinna.is/jobs/upplysingataeknistjori-3/,content,"legan vinnustað og hámarks rekstraröryggi. Hvetja til nýsköpunar með því að styðja við aukna notkun lausna sem byggja á gervigreind, sjálfvirknivæðingu og annara nýjunga sem auka framleiðni og þjónustugæði. Menntun og hæfniskröfur Reynsla af upplýsingatæknistjórnun eða sambærilegu hlutverki. Góð þekking á Microsoft 365",
Tvinna,"Gögn, greining og gervigreind",Snjallgögn,Iceland,30. Jan 2024,,https://www.tvinna.is/jobs/gogn-greining-og-gervigreind/,title,"Gögn, greining og gervigreind Um Tvinna Auglýstu starf Um Tvinna Auglýstu starf Gögn, greining og gervigreind Snjallgögn 30. Jan 2024 Fullt starf Framsækið sprotafyrirtæki leitar að gagna og greiningarfólki í þrjú lykilhlutverk. Gagnastjóri Sér um Master Data Management, samninga við söluaðila premium gagna og tenginga",
Tvinna,Leiðtogi í hagnýtingu gervigreindar,OR,Iceland,3. Jan 2024,,https://www.tvinna.is/jobs/leidtogi-i-hagnytingu-gervigreindar/,title,"Leiðtogi í hagnýtingu gervigreindar Um Tvinna Auglýstu starf Um Tvinna Auglýstu starf Leiðtogi í hagnýtingu gervigreindar OR 3. Jan 2024 Fullt starf Leiðtogi í hagnýtingu gervigreindar Við leitum að skipulögðum, drífandi og hugmyndaríkum leiðtoga í hagnýtingu gervigreindar hjá OR samstæðunni. Samstæðan samanstendur af",
Tvinna,Data engineer,Abler,Iceland,24. Oct 2025,,https://www.tvinna.is/jobs/data-engineer-11/,content,"what truly matters: developing people and communities through sport. We’re a fast-growing SaaS company evolving into an AI-first organization , where data is at the heart of everything we do . Our team of 30+ diverse individuals thrives on innovation, challenges, and collective impact. Backed by exceptional investors a",
Tvinna,Product Designer,Leviosa,Iceland,20. Oct 2025,,https://www.tvinna.is/jobs/product-designer-9/,content,"– Are curious about how healthcare works and motivated to design tools that make a real impact. – Know how to leverage AI tools (e.g., for prototyping/wireframing, design exploration or workflow acceleration) and are eager to integrate them into your work. Desired Soft Skills – Excellent communication and teamwork abi",
Tvinna,Senior Data Analyst,Bókun,Iceland,3. Nov 2025,,https://www.tvinna.is/jobs/senior-data-analyst-2/,content,"define requirements, establish data models, and help build and maintain our data warehouse Apply statistical modeling, AI, and machine learning techniques to move beyond descriptive analytics and provide predictive and prescriptive insights Embrace and utilize AI tools in your daily workflow to enhance productivity an",
Tvinna,Ert þú ferlasérfræðingur?,Orkuveitan,Iceland,27. Dec 2024,,https://www.tvinna.is/jobs/ert-thu-ferlaserfraedingur/,content,"fnumiðuð umbreyting sem er öflugur hópur einstaklinga sem hefur það markmið að hámarka árangur, með sérstakri áherslu á gervigreind og gagnadrifna ákvarðanatöku. Einingin leggur grunn að aukinni sjálfsþjónustu og samvinnu, ásamt því að styðja við sveigjanlega og skilvirka vöruþróun innan fyrirtækja Orkuveitunnar. Einin",
Tvinna,Forritari,CLARA,Iceland,26. Oct 2012,,https://www.tvinna.is/jobs/forritari-26/,content,"við Vaktarann og Resonata. CLARA þróar öflugar textagreiningarlausnir sem nýta sér það allra nýjasta í tungumálatækni, gervigreind og birtingu gagna. Frekari upplýsingar um þær lausnir sem CLARA hefur þróað má finna á resonata.com og vaktarinn.is . Frekari upplýsingar um fyrirtækið má finna á clara.is . Upplýsingar fy",
Alfred + LinkedIn,AI-first Full Stack Developer,TimeXtender,Iceland,2026-05-06T23:45:32Z,,https://alfred.is/starf/ai-first-full-stack-developer,title,"AI-first Full Stack Developer TimeXtender delivers secure, trusted, AI-ready data for every decision. Our metadata-first platform enables mid-sized enterprises to build future-proof data infrastructure 10x faster than traditional methods. By automating the complex layers of data ingestion, preparation, and delivery, Ti",Merged from 2 matching source postings.
LinkedIn,"Full Stack Software Engineer for AI Training (Remote, Flexible, 100+ openings)",Braintrust,Iceland,,,https://is.linkedin.com/jobs/view/full-stack-software-engineer-for-ai-training-remote-flexible-100%2B-openings-at-braintrust-4386729112?position=23&pageNum=0&refId=%2BUrnDuUXIHRWagxzyeB22g%3D%3D&trackingId=L5oWhqX%2BYb9LwZGQQHBbKw%3D%3D,title,"Full Stack Software Engineer for AI Training (Remote, Flexible, 100+ openings) Full Stack Software Engineer for AI Training (Remote, Flexible, 100+ openings) Braintrust Iceland 1 month ago",
Tvinna,Back-end developer,Activity Stream,Iceland,3. Mar 2022,,https://www.tvinna.is/jobs/back-end-developer-5/,content,"vegna Atlantshafsins. Hjá fyrirtækinu starfar margreyndur hópi sérfræðinga á sviði hugbúnaðargerðar, rekstrargreindar, gervigreindar, kerfisrekstrar, sölu og þjónustu. Fyrir frekari upplýsingar hafið samband við tæknistjóra Activity Stream, Helga Pál Helgason, í gegnum netfangið helgi@activitystream.com. Umsóknir má s",
Tvinna,Forritara vantar í öflugt teymi,Activity Stream ehf.,Iceland,8. Jun 2016,,https://www.tvinna.is/jobs/forritara-vantar-i-oflugt-teymi/,content,"selur rekstrargreindarhugbúnað (Operational Intelligence) sem gerir meðalstórum og stórum fyrirtækjum mögulegt að nýta gervigreind til að bæta daglegan rekstur og þjónustu. Activity Stream er staðsett á besta stað í miðbæ Reykjavíkur Við bjóðum samkeppnishæf laun, góða vinnuaðstöðu, hvetjandi starfsumhverfi og góðan s",
Tvinna,Gervigreindarsérfræðingur / Reyndur forritari – Artificial intelligence expert / Experienced programmer,Skákgreind ehf,Iceland,18. Mar 2021,,https://www.tvinna.is/jobs/gervigreindarserfraedingur-reyndur-forritari-artificial-intelligence-expert-experienced-programmer/,title,Gervigreindarsérfræðingur / Reyndur forritari – Artificial intelligence expert / Experienced programmer Um Tvinna Auglýstu starf Um Tvinna Auglýstu starf Gervigreindarsérfræðingur / Reyndur forritari – Artificial intelligence expert / Experienced programmer Skákgreind ehf 18. Mar 2021 Fullt starf Gervigreind – Reyndur,
Tvinna,Reyndur forritari – lead programmer,Skákgreind ehf,Iceland,4. Sep 2020,,https://www.tvinna.is/jobs/reyndur-forritari-lead-programmer-2/,content,"r líf fólks? Skákgreind er öflugur tæknisproti sem nýlega hlaut Vaxtar styrk hjá Tækniþróunarsjóði Rannís. Viðtökur við gervigreindrar vefsíðu fyrir einstaklingsmiðað nám, hafa farið framúr björtustu vonum. Framundan er spennandi tími þar sem unnið er með samstarfsaðilum að því að endurbæta lausnina og næstu skref teki",Merged from 2 matching source postings.
Tvinna,Spennandi störf hjá framsæknu fyrirtæki,Activity Stream ehf.,Iceland,9. Nov 2015,,https://www.tvinna.is/jobs/spennandi-storf-hja-framsaeknu-fyrirtaeki/,content,"megin starfssvið er rekstrargreind (Operational Intelligence) en í henni sameinast vinnsla streymandi gagna, hagnýting gervigreindar og miðlun upplýsinga í rauntíma. Rekstrargreind hefur það að megin markmiði að bæta rekstur og þjónustu fyrirtækja með nýtingu hátækni. Við leitum að: Viðmótsforritara Þekking og reynsla",
Tvinna,Sérfræðingar í hugb.þróun/máltækni/AI,Háskólinn í Reykjavík,Iceland,23. Feb 2021,,https://www.tvinna.is/jobs/serfraedingar-i-hugb-throun-maltaekni-ai/,title,"Sérfræðingar í hugb.þróun/máltækni/AI Um Tvinna Auglýstu starf Um Tvinna Auglýstu starf Sérfræðingar í hugb.þróun/máltækni/AI Háskólinn í Reykjavík 23. Feb 2021 Fullt starf Mál- og raddtæknistofa Háskólans í Reykjavík (HR), sem er hluti af Gervigreindarsetri HR, hlaut nýlega fimm styrki til tveggja ára til að vinna að",
Tvinna,Sérlausnadeild Activity Stream leitar að forriturum,Activity Stream,Iceland,1. Oct 2016,,https://www.tvinna.is/jobs/serlausnadeild-activity-stream-leitar-ad-forriturum/,content,"Íslandi og í Danmörku. Hjá fyrirtækinu starfar margreyndur hópi sérfræðinga á sviði hugbúnaðargerðar, rekstrargreindar, gervigreindar, kerfisrekstrar, sölu og þjónustu. Leiðandi fyrirtæki beggja vegna Atlantshafs nýta sér nú þegar rekstrargreindarþjónustu Activity Stream, (SaaS based Operational Intelligence Software)",
Alfred,Tech Lead – Travel,Icelandair,Iceland,2026-05-12T15:49:55Z,2026-05-27T23:59:59Z,https://alfred.is/starf/tech-lead-travel,content,"lity for scalability, quality and technical debt across frontend and backend. Stay hands-on where it matters most. Lead AI-assisted development practices - Champion the adoption of AI-assisted development across the team, setting the standard for how these tools are used effectively and responsibly as part of everyday",
Tvinna,Full-stack forritari fyrir spennandi gervigreindarverkefni,LagaViti ehf.,Iceland,18. Dec 2024,,https://www.tvinna.is/jobs/full-stack-forritari-fyrir-spennandi-gervigreindarverkefni/,title,Full-stack forritari fyrir spennandi gervigreindarverkefni Um Tvinna Auglýstu starf Um Tvinna Auglýstu starf Full-stack forritari fyrir spennandi gervigreindarverkefni LagaViti ehf. 18. Dec 2024 Fullt starf Við erum sprotafyrirtæki sem vinnur að byltingarkenndri gervigreindarhugbúnaðarlausn fyrir lögfræðinga. Fyrirtæki,
Tvinna,Senior Frontend Engineer,Optise,Iceland,12. Nov 2025,,https://www.tvinna.is/jobs/senior-frontend-engineer/,content,"5 Fullt starf Are you a Senior Frontend Engineer ready to pioneer the future of digital experiences? We are an exciting AI startup, based in Reykjavík, Iceland, ready to make a dent in the world. We’re on a mission to change the way websites evolve, leveraging AI to unlock smarter, faster, and more impactful digital ex",
Tvinna,Kerfisstjóri,Prod,Iceland,3. Apr 2024,,https://www.tvinna.is/jobs/kerfisstjori-46/,content,"og útfæra verkferla. Hámarka nýtingu og viðhalda þjónustum til að mæta þörfum viðskiptavina m.a. með sjálfvirkni og eða gervigreind. • Ráðgjöf: Veita ráðgjafarþjónustu, skilja þarfir og hanna nútímalegar lausnir sem eru í samræmi við markmið viðskiptavina með öryggi að leiðarljósi. • Viðhald og Stuðningur: Framkvæma re",
Tvinna,Persónulegur internetálitsgjafi – Ísland,Lionbridge,Iceland,20. Oct 2020,,https://www.tvinna.is/jobs/personalized-internet-assessor-iceland-2/,content,gjafi – Ísland Lionbridge 20. Oct 2020 Freelance Hlutastarf fyrir sjálfstæða verktaka sem vinna að heiman Um Lionbridge AI Lionbridge hefur verið leiðandi framleiðandi þjálfunargagna í meira en 20 ár. Við vinnum með fremstu fyrirtækjum heims á sviði nýsköpunar að þróun og endurbótum á gervigreindarvörum þeirra. Hvort s,
Alfred,Sérfræðingur í hugbúnaðarprófunum (QA),APRÓ,Iceland,2026-05-07T11:27:32Z,2026-05-18T23:59:59Z,https://alfred.is/starf/serfraedingur-i-hugbunadarprofunum-qa,content,num (e. QA Specialist). Starfið er fjölbreytt og spannar bæði hefðbundið gæðaeftirlit sem og prófanir á kerfum sem nýta gervigreind – allt í nánu samstarfi við hagaðila innanhúss. Viðkomandi mun eiga virkan þátt í að þróa gæðaferla og innleiða sjálfvirkar prófanir en jafnframt kanna hvernig gervigreind getur nýst í sjá,
Alfred,Sérhæfðar fjárfestingar,Alfa Framtak,Iceland,2026-05-08T12:17:19Z,2026-05-17T23:59:59Z,https://alfred.is/starf/serhaefdar-fjarfestingar-1,content,"ur. Færni á sviði fjárhagslegra greininga og gerð kynninga er mikilvægur eiginleiki. Tæknilegur skilningur og hagnýting gervigreindar er kostur. Viðkomandi þarf að taka frumkvæði í sínum störfum, vera tilbúin(n) að leggja mikið á sig við nákvæmni upplýsinga og hafa getu til að miðla niðurstöðum í bæði ræðu og riti. Hjá",
Störf.is,Forstöðumaður verðbréfamarkaða,Seðla­banki Íslands,"Höfuðborgarsvæðið, Höfuðborgarsvæðið",2026-05-07T03:21:59.987357Z,2026-05-18T00:00:00,https://island.is/starfatorg/c-7tpUAsW5RpdscIwvyZFGXV,content,"da, gagnsæi á markaði, markaðssvikum og gagnaskilum. Að auki er lögð rík áhersla á notkun gagna og aðferðir við að nýta gervigreind við eftirlit. Ábyrgð á uppbyggingu deildar og faglegri þróun verkefna. Dagleg verkstjórn og mótun sterkrar liðsheildar. Þróun eftirlits með inviðum, gagnagæðum og kerfum eftirlitsskyldra a",
Störf.is,Rekstrar- og viðhaldsstjóri – Björgun Sement,Hagvangur,Iceland,2026-05-07T03:46:07.661173Z,,https://www.hagvangur.is/jobs/rekstrar-og-vidhaldsstjori-bjorgun-sement/,content,"erktaka, framleiðenda, hönnuða og annarra hagsmunaaðila Tæknilegur stuðningur og þátttaka í innleiðingu nýrra tækni- og gervigreindarlausna Þátttaka í gæða-, öryggis- og mannauðsmálum tengdum framkvæmdum og viðhaldi Menntunar- og hæfniskröfur Menntun í vél-, iðn-, tæknifræði eða önnur menntun og reynsla sem nýtist í st",
Störf.is,Verkefnastjóri í fjármálatengdum verkefnum,Háskóli Íslands,"Reykjavík, Höfuðborgarsvæðið",2026-05-06T03:18:15.809931Z,2026-05-15T00:00:00,https://island.is/starfatorg/x-46504,content,"um greinum sem nýtast í starfi Góð færni í Excel Gott vald á upplýsingatækni og hæfni til að nýta nýjungar, þar á meðal gervigreind og stafrænar lausnir, til umbóta í starfi Reynsla af sambærilegum verkefnum er kostur Góð samstarfshæfni og rík þjónustulund Sjálfstæð, skipulögð og lausnamiðuð vinnubrögð Góð færni í ísle",Merged from 2 matching source postings.
Tvinna,C# forritari hjá Meniga,Meniga,Iceland,1. Jul 2011,,https://www.tvinna.is/jobs/c-forritari-hja-meniga/,content,"gð og hefur áhrif á þróun vörunnar. Meðal verkefna er forritun nýjunga í C#, hönnun gagnagrunna og vöruhúsa, útfærsla á gervigreind, flóknum algrímum, aðlögun að netbönkum erlendra banka o.fl. Við bjóðum góð laun, gott vinnuumhverfi og skemmtilegan vinnustað. Meniga er leiðandi í þróun heimilisfjármála veflausna (PFM)",
Tvinna,Framendaforritari,Helix Health,Iceland,29. Mar 2026,,https://www.tvinna.is/jobs/framendaforritari-31/,content,"nnuðum, vörustjórum og þróunarteymi að því að skapa notendavænar og árangursríkar lausnir Nýta ný tól og aðferðir (m.a. gervigreind) til að auka skilvirkni og gæði í þróun Sjá til þess að þróun framenda fylgi viðurkenndum og bestu verklagsreglum, með áherslu á gæði, aðgengi og viðhald Vera málsvari fyrir góða notendaup",
Tvinna,Full Stack forritari,Helix Health,Iceland,29. Mar 2026,,https://www.tvinna.is/jobs/full-stack-forritari-10/,content,"na náið með fjölbreyttum teymum með því markmiði að skapa öflugar og áreiðanlegar lausnir Nýta ný tól og aðferðir (m.a. gervigreind) til að auka skilvirkni og gæði í þróun Sjá til þess að þróun bakenda fylgi viðurkenndum vinnulögum og bestu verklagsreglum, með áherslu á gæði, öryggi og viðhald Taka þátt í samþættingu m",
Tvinna,Sérfræðingar í gervigreind/máltækni,Háskólinn í Reykjavík,Iceland,10. Oct 2019,,https://www.tvinna.is/jobs/serfraedingar-i-gervigreind-maltaekni/,title,Sérfræðingar í gervigreind/máltækni Um Tvinna Auglýstu starf Um Tvinna Auglýstu starf Sérfræðingar í gervigreind/máltækni Háskólinn í Reykjavík 10. Oct 2019 Fullt starf Gervigreindarsetur Háskólans í Reykjavík leitar að metnaðarfullum einstaklingum til að starfa við þróun og gerð talgreina og annarra máltæknilausna. Þr,
